District,Village,Latitude,Longitude,Pre-Monsoon Level (m),Post-Monsoon Level (m),Annual Rainfall (mm),Population Density (people/sq km),Land Use Type,Surface Elevation (m),Year
Panipat,Barsat,30.10437817,76.18334308,23.82241025,22.26870147,775.2714587,1622.353839,Forest,221.2794677,2018
Gurgaon,Farrukhnagar,30.01699771,76.29417623,13.153114,11.07637228,464.7635775,867.661208,Forest,210.7407438,2018
Panipat,Chulkana,29.30521173,76.5545514,21.42395452,17.92402546,913.6959418,1492.508654,Urban,209.0706908,2018
Panipat,Bapoli,29.617613,77.15731965,24.10993194,23.42955603,595.4725742,778.9473664,Agricultural,230.2219104,2018
Rohtak,Kiloi,28.0050176,77.27732202,21.75559157,17.9715493,594.1328255,1303.062086,Agricultural,270.7412011,2018
Rohtak,Kahnaur,29.89568507,76.94598024,16.98732277,12.34718103,753.0628713,1368.772382,Agricultural,274.2329937,2018
Rohtak,Kiloi,28.82327233,76.4540387,13.03656304,9.725632357,538.9155071,265.8588361,Agricultural,223.572616,2018
Panipat,Asan Khurd,29.99518727,76.38997432,17.29298976,15.82889816,528.3863218,1378.51025,Urban,264.8835177,2018
Gurgaon,Farrukhnagar,30.49968265,76.78573567,20.30901796,15.85407951,955.4924867,1644.928935,Forest,229.1559559,2018
Panipat,Bhodwal Majri,28.75902393,76.06780355,16.82184794,15.67897592,823.2130536,1016.410295,Forest,244.455464,2018
Hisar,Mithathal,29.87079851,77.31754235,14.11743495,13.29995791,784.3778997,742.0728785,Urban,273.6256933,2018
Rohtak,Sunari Kalan,29.70355618,76.4136868,7.127613079,6.561454576,914.6374457,1374.647529,Forest,220.4632277,2018
Hisar,Mithathal,28.78107297,76.16089271,6.649033327,4.679148242,729.2555027,861.8467548,Forest,216.5746307,2018
Ambala,Majra,30.08883423,76.77174966,11.1952389,8.80478333,845.7887234,1783.079851,Agricultural,221.0502868,2018
Rohtak,Kahnaur,30.29420052,76.9536255,8.248273277,7.344521253,510.2357114,1465.616758,Forest,219.047065,2018
Panipat,Bapoli,28.55293852,76.54065979,22.55161955,18.41554358,757.4759034,848.5645068,Urban,238.2494358,2018
Hisar,Mirzapur,29.97488638,76.96776996,5.863093092,4.188156424,860.8175537,143.8395838,Forest,266.5858746,2018
Rohtak,Kahnaur,28.63518137,76.36262043,21.13788519,18.67580948,636.0807579,403.9441509,Urban,291.3542328,2018
Ambala,Khera,30.12926842,76.47886924,23.20945929,19.9573934,553.0340312,664.6375348,Urban,248.2808397,2018
Panipat,Barsat,28.77573113,76.16127406,14.15198406,11.75589631,591.7836594,1032.353512,Urban,215.2569273,2018
Hisar,Nalwa,28.11771364,77.23449165,5.616301679,0.950340911,486.6186218,395.9361662,Urban,221.1229644,2018
Hisar,Nalwa,29.19616127,76.52434056,14.73342354,10.62322324,425.0712924,386.0534824,Forest,260.6624983,2018
Gurgaon,Wazirabad,29.18513747,77.43224965,20.66581003,18.82550711,854.6645601,465.7954723,Agricultural,276.1060281,2018
Hisar,Mangali,29.80103799,76.44132289,18.98708551,17.73158338,715.3730183,130.3839259,Forest,295.5967046,2018
Gurgaon,Sohna,30.00063131,77.32029795,21.50514014,20.34232755,597.0838256,1711.965692,Agricultural,260.6934736,2018
Ambala,Majra,29.22128377,77.0412055,20.42538646,18.50166611,906.515119,1368.197307,Urban,212.953461,2018
Panipat,Bhodwal Majri,29.75364191,76.95358212,12.42044324,9.330812786,850.3846927,972.8744962,Forest,286.9246572,2018
Hisar,Mirzapur,28.79794829,76.07123459,23.05977747,18.33602989,495.8079623,657.5298673,Urban,266.709917,2018
Ambala,Kardhan,30.27045557,76.78191956,15.95684575,11.44203096,701.3879268,664.4221029,Agricultural,224.5944886,2018
Ambala,Majra,29.15789519,76.54222654,13.1950118,8.271328373,528.3401414,1535.566884,Urban,275.5751608,2018
Ambala,Kardhan,29.17326052,77.44851156,22.67974638,19.41337182,602.7342892,1925.239412,Agricultural,228.3477257,2018
Ambala,Bilaspur,29.42113649,77.36637854,20.78253939,18.04068698,865.6015177,1431.689981,Agricultural,274.4697425,2018
Gurgaon,Badshahpur,29.2937289,76.12732606,8.048018725,5.067735028,516.4378943,1626.239244,Forest,254.8076653,2018
Panipat,Bhodwal Majri,29.20118442,76.61941656,14.90893167,11.17304889,984.4848439,1905.219584,Urban,257.779203,2018
Ambala,Khanpur,28.43035182,76.46155554,13.26523072,11.1122459,808.5846027,1645.29323,Forest,213.3931869,2018
Ambala,Bilaspur,30.1830734,76.54981251,15.25156807,10.88849171,806.6524136,690.9469399,Agricultural,217.3126417,2018
Ambala,Khera,28.24729279,77.33443939,18.47007132,17.24230506,662.7446807,473.1288817,Forest,212.6025719,2018
Gurgaon,Wazirabad,28.19924333,76.90878414,14.38447253,9.68852612,525.5705042,1751.496827,Forest,282.6092884,2018
Gurgaon,Farrukhnagar,29.35311017,76.97454484,5.472016868,3.820001327,666.42393,911.7982706,Urban,282.8533546,2018
Gurgaon,Badshahpur,29.36268932,76.8542728,18.50113644,17.22350911,500.0360482,270.5513891,Urban,216.6483222,2018
Ambala,Kardhan,29.45504629,77.09638867,10.26918459,6.856277733,402.1041307,314.6909743,Urban,268.6815355,2018
Gurgaon,Farrukhnagar,28.93150408,76.13390377,19.02807985,18.00809786,797.9616247,541.1773091,Forest,275.2293647,2018
Hisar,Mirzapur,29.02557848,76.98323172,21.64454543,20.04793649,871.3641434,558.2205191,Agricultural,227.2928427,2018
Hisar,Balsamand,30.48978721,76.09491545,22.93489264,18.00559734,405.5830062,450.2917012,Agricultural,296.0396405,2018
Ambala,Bilaspur,30.47902709,76.62737578,11.76556687,7.154346146,418.8325518,1648.41991,Agricultural,203.6982743,2020
Ambala,Bilaspur,28.76564343,77.18030388,13.9568945,11.65671964,995.5894648,1956.961755,Urban,267.5259723,2020
Panipat,Asan Khurd,28.64815715,77.4166839,9.413172421,6.243644843,702.6333254,1716.42603,Agricultural,294.6398632,2020
Panipat,Barsat,29.78383684,76.83322805,19.70476279,16.02251983,617.4469394,681.3628488,Forest,233.9961626,2020
Panipat,Barsat,29.93145946,76.89211602,16.81135995,14.7914098,620.2423117,475.2534229,Urban,239.7224788,2020
Panipat,Chulkana,28.89719697,76.11291317,10.44365532,8.378959082,872.4880733,730.0704716,Agricultural,228.369562,2020
Ambala,Majra,30.16174151,77.29326148,7.323773296,3.564135913,959.3599314,844.6758059,Forest,256.6706874,2020
Ambala,Khera,30.41388796,76.84849094,9.224641365,4.452531185,639.6119638,876.0524827,Urban,225.497678,2020
Ambala,Majra,28.57747424,76.4994736,20.7758358,15.81854578,720.6348139,1248.466371,Agricultural,279.6439759,2020
Ambala,Khera,28.1646872,76.59054987,9.430044981,4.813871533,559.6663113,1328.796371,Agricultural,214.6828726,2020
Gurgaon,Manesar,28.37114226,76.50008394,10.41105857,9.615835647,518.7153995,1441.207605,Agricultural,292.1924358,2020
Hisar,Balsamand,29.89983786,76.01857711,22.5633519,17.65121673,510.6579963,197.9789263,Urban,226.6894705,2020
Panipat,Barsat,29.11323536,76.96122599,21.89200724,17.53809508,836.9837272,718.0780472,Urban,297.6589318,2020
Panipat,Barsat,29.24749226,76.81415496,20.79232841,19.07964791,926.2777689,827.3072212,Agricultural,231.1858968,2020
Gurgaon,Manesar,28.90194155,76.2999504,6.795131503,3.475316572,643.8839202,287.9719829,Agricultural,250.2839075,2020
Panipat,Bapoli,29.10054175,76.51201294,11.17591312,9.852771842,739.4448288,1415.670211,Urban,221.5686494,2020
Ambala,Majra,29.50916736,76.92517674,8.70356405,4.688846202,895.2582692,1143.084799,Urban,264.483816,2020
Rohtak,Samar Gopalpur,30.12244978,76.014952,13.76235997,11.06650663,698.0463776,499.1166913,Agricultural,287.0799823,2020
Rohtak,Makrauli,28.16666429,77.20226705,15.73240048,11.00704261,689.5297866,342.3906072,Urban,292.9969539,2020
Ambala,Khanpur,29.02482665,76.06920169,19.43159016,17.3493921,758.8569433,1249.926589,Agricultural,289.1199293,2020
Rohtak,Samar Gopalpur,28.19169744,76.60703184,10.38123971,7.5932821,475.0457668,662.3803191,Urban,272.8355213,2020
Hisar,Mangali,29.71245307,77.28717982,24.61841995,23.54052983,918.5342126,1771.363942,Agricultural,216.7957717,2020
Hisar,Balsamand,29.62043163,77.18651517,6.629412261,6.078027825,737.060493,166.4649,Urban,249.7620108,2020
Gurgaon,Badshahpur,29.20190054,77.25770267,21.93474848,18.3992573,447.0898997,960.2614938,Agricultural,271.6501288,2020
Hisar,Balsamand,29.55463175,76.85509302,5.221429935,1.981745318,825.038468,1809.09049,Forest,261.3588862,2020
Gurgaon,Wazirabad,29.37316644,77.04349422,22.76235823,22.055519,687.0458264,915.5839975,Agricultural,288.2641974,2020
Rohtak,Kiloi,29.73320328,76.54101221,6.874397847,5.250239192,637.5093614,354.7224863,Agricultural,278.217877,2020
Rohtak,Kahnaur,29.12246862,76.74814967,19.38946838,15.60693513,912.7658626,768.6420945,Forest,260.9501239,2020
Gurgaon,Manesar,29.17091845,76.06949859,15.13688272,10.4400987,873.1112852,1283.738846,Forest,249.430825,2020
Panipat,Barsat,30.34529771,76.25646921,17.8370361,15.66887001,788.1905887,1898.840973,Agricultural,206.2636149,2020
Rohtak,Makrauli,28.18477182,77.38199624,20.93657567,16.76043376,469.6596126,1831.347526,Urban,221.5178454,2020
Hisar,Balsamand,30.40061282,76.84422588,20.0980148,18.13824123,653.3800187,1770.993371,Forest,263.210628,2020
Rohtak,Kahnaur,30.27982005,76.44141624,17.05574932,13.09677625,730.1128241,159.464358,Agricultural,290.9021054,2020
Hisar,Nalwa,28.2402615,76.45877323,24.15703837,21.80467744,875.4551836,1755.97351,Agricultural,219.0722089,2020
Panipat,Chulkana,28.71332177,76.87958917,6.852717255,2.800223679,785.589086,1009.541083,Forest,245.9385438,2020
Gurgaon,Farrukhnagar,30.41467359,77.08567704,24.54625622,23.55942855,704.3693138,737.5803057,Agricultural,288.1286583,2020
Ambala,Majra,29.23713346,76.82868001,12.6598947,9.63633847,650.1813321,908.8492315,Agricultural,252.2092487,2020
Hisar,Mirzapur,29.14976107,77.34557434,16.99568326,15.75922839,901.4455885,125.4972552,Urban,278.4646039,2020
Hisar,Mithathal,29.59140893,76.32846709,7.614842337,6.138485368,965.6502,1153.264471,Urban,295.4790054,2020
Gurgaon,Wazirabad,28.66069416,76.02137562,15.2509473,13.50940952,933.6423613,1427.996107,Agricultural,269.1010187,2020
Gurgaon,Badshahpur,28.31349932,77.1482889,5.877506019,3.541576188,681.0441662,556.5651882,Urban,275.8528187,2020
Hisar,Mithathal,28.28510638,76.61418055,5.27254161,4.426113204,444.7325676,343.9935411,Forest,289.0754858,2020
Ambala,Khanpur,28.27985274,76.41949987,6.527799094,1.586760416,955.1387249,700.2706411,Agricultural,205.9303886,2020
Gurgaon,Wazirabad,28.00757541,77.32172234,17.76969104,16.296233,562.1541762,1858.870355,Urban,222.4301208,2020
Ambala,Kardhan,29.50389119,77.28483075,24.40582268,21.24628514,451.9038675,1091.596231,Urban,213.7780669,2020
Panipat,Barsat,29.11177666,76.74010259,7.432327408,3.015981205,645.6105168,1637.520127,Forest,235.0967201,2020
Ambala,Majra,30.17898401,76.09588565,6.060817133,4.328392337,619.3932499,438.0548016,Forest,214.3665952,2020
Panipat,Bapoli,30.39732353,76.11345262,24.11834789,21.62117529,962.8548891,1185.93639,Forest,223.9266936,2020
Panipat,Asan Khurd,29.85956095,76.44809822,13.04091067,9.721398538,778.569392,100.1143622,Agricultural,248.0005921,2020
Panipat,Bhodwal Majri,28.15773307,76.77154653,19.12453863,15.70126872,996.8449231,1447.288014,Agricultural,266.4170219,2020
Gurgaon,Manesar,29.92164351,76.23983202,22.86927657,20.13016281,965.1344696,311.8711707,Agricultural,205.8866212,2020
Ambala,Khera,28.50212439,76.96239109,12.14474535,7.159267007,933.3251495,613.9069509,Forest,253.5092908,2020
Ambala,Majra,28.5746008,76.32625533,16.91571505,15.88284431,779.689767,986.0721655,Agricultural,292.541815,2020
Rohtak,Kahnaur,28.23980709,76.8172335,23.95619198,21.73021788,514.9469163,1186.744574,Agricultural,221.7715194,2020
Gurgaon,Farrukhnagar,29.30203621,76.51549388,11.27540682,6.886727614,522.4498869,609.9668617,Agricultural,267.4151944,2020
Rohtak,Sunari Kalan,29.243756,76.93098822,13.98667295,13.01376589,863.4459552,475.5825064,Forest,226.8575246,2020
Ambala,Kardhan,28.15166535,76.9155961,17.97616712,14.78261035,947.0050796,443.6647273,Forest,236.8936616,2020
Hisar,Mithathal,28.57673628,77.00438902,20.94125173,18.23861141,956.4541421,608.7170521,Urban,285.8132207,2020
Hisar,Mangali,30.0836237,76.52516458,19.22212519,15.41299817,634.2767181,1709.253207,Agricultural,237.8793449,2020
Hisar,Mirzapur,28.8492136,76.03777741,9.883968906,5.574332898,859.3644782,1649.848418,Agricultural,299.2777452,2020
Hisar,Mangali,28.81232583,76.13264169,17.04979254,15.77925274,712.1713147,449.2596737,Agricultural,272.8244548,2020
Hisar,Mithathal,28.55198845,76.22249811,7.186597503,4.940940183,543.5064013,1202.01296,Urban,215.6539442,2020
Ambala,Khera,28.96828981,76.22394889,5.833313951,4.267245144,992.3600958,1156.244207,Agricultural,251.7793991,2020
Hisar,Mirzapur,28.37038903,76.49167387,11.39940447,9.916588845,558.6634147,498.9876201,Forest,287.268541,2020
Gurgaon,Manesar,28.51948654,76.62657315,23.80534967,22.65798001,566.7439328,1673.490571,Agricultural,261.9042424,2020
Panipat,Bapoli,28.61442879,77.37551517,24.0159615,22.98844456,835.5158361,1720.877533,Forest,203.3583103,2020
Ambala,Bilaspur,28.20164196,76.37223398,21.24329131,19.3658893,708.511407,249.1267947,Forest,252.4335176,2020
Gurgaon,Wazirabad,29.74042874,77.41688145,15.05191755,10.14547435,587.6268229,411.7034302,Urban,218.9388987,2020
Hisar,Mirzapur,30.44484132,77.48832573,21.60677792,18.05121048,451.5474034,1718.766892,Forest,250.349976,2020
Panipat,Barsat,28.04015336,76.82109912,21.18473942,19.16644467,486.672135,539.9240588,Forest,224.4337521,2020
Gurgaon,Sohna,29.60022722,77.36729854,21.57573778,20.39521408,701.8164879,830.1997178,Forest,233.5397747,2020
Panipat,Bhodwal Majri,30.36411763,77.37101663,23.69946611,20.02545244,731.2222594,1772.435607,Agricultural,267.4694791,2020
Ambala,Khanpur,29.70627491,76.78343896,13.08577975,10.81807777,890.3022829,1014.679339,Agricultural,257.9315008,2020
Rohtak,Kahnaur,29.53714309,77.4584418,22.1215898,21.09807023,957.043526,630.4069579,Urban,285.6212333,2020
Ambala,Khanpur,30.24273738,76.54410163,19.48143835,17.35014805,749.9962437,513.396118,Agricultural,282.2129178,2020
Ambala,Bilaspur,29.93603636,77.25380143,18.15279536,15.98311256,469.3472318,1466.673846,Forest,297.7385019,2020
Panipat,Barsat,28.01390382,76.64042627,8.069316873,5.80010067,687.5135812,698.0544334,Agricultural,212.6568072,2020
Panipat,Barsat,29.36821536,77.08217847,23.00550679,20.22181417,424.4822322,488.7798432,Agricultural,279.5868153,2020
Rohtak,Sunari Kalan,30.10220418,77.38055114,15.8357281,12.76224328,724.1177304,1484.516334,Agricultural,201.1855742,2020
Rohtak,Kiloi,30.18562012,76.92834692,13.52993172,11.33142213,864.9203888,1081.84961,Forest,213.4980736,2020
Hisar,Balsamand,30.19907359,76.68622798,18.89481549,16.62049123,686.9749718,940.8491739,Forest,204.6905015,2020
Gurgaon,Sohna,29.52354627,76.30888555,5.214014129,1.556896396,775.7231753,119.5964053,Urban,270.3005334,2020
Gurgaon,Farrukhnagar,29.66173605,76.97883918,11.7794902,7.144177585,601.9060377,181.479241,Urban,215.3906026,2020
Gurgaon,Wazirabad,29.17715376,76.53479831,23.24836272,19.55795004,943.3554094,304.7224696,Forest,257.8788724,2020
Panipat,Bapoli,28.72520341,77.02771349,7.335751049,6.67875611,911.1693236,311.1216184,Forest,239.2046385,2020
Rohtak,Makrauli,28.48828651,76.56083146,16.89058404,14.50958157,851.7212965,1700.412617,Forest,213.0576937,2020
Panipat,Bapoli,29.66817917,77.44328197,23.23145358,19.44783635,827.2274864,1105.873413,Agricultural,230.503803,2020
Ambala,Bilaspur,28.61272533,77.12951211,11.91267249,9.068387596,939.6723727,1409.220748,Urban,281.4463063,2020
Hisar,Mirzapur,30.06933344,77.0314253,16.99278581,14.27817599,464.5491688,1399.163541,Urban,275.441355,2020
Ambala,Khera,30.34214589,77.47130471,20.09920542,17.07505734,554.6518699,1256.339226,Forest,283.1133607,2020
Gurgaon,Sohna,29.65516214,77.27586262,5.045691383,3.689599858,648.4768393,352.2119193,Agricultural,221.2821947,2020
Ambala,Kardhan,30.43451257,76.520823,20.86372082,17.89028233,847.8625942,970.8362969,Forest,298.6844021,2020
Hisar,Nalwa,28.81254264,77.18073792,22.0187446,19.6756386,622.5120669,918.6330227,Forest,203.6211833,2020
Panipat,Barsat,29.12000714,76.76755871,20.02669107,16.60257627,775.8168228,575.2014821,Agricultural,294.8990168,2020
Gurgaon,Wazirabad,28.34606673,76.9859943,6.41719166,2.076557552,786.4823932,1420.001028,Forest,226.4962401,2020
Hisar,Mirzapur,30.28491839,76.71681199,6.062674881,4.171111029,603.3037336,256.679329,Agricultural,247.740964,2020
Hisar,Mirzapur,28.98249847,77.1314703,24.37213333,20.66226714,913.7876473,1157.286108,Agricultural,234.8048374,2020
Panipat,Asan Khurd,29.01693162,76.97741796,8.956367776,4.780989017,880.5024954,637.1887399,Forest,240.3472555,2020
Ambala,Majra,28.26330432,76.48243008,12.62857903,10.58485945,613.8043602,863.8015853,Agricultural,263.5528497,2020
Panipat,Barsat,28.40287306,77.25657182,12.30230404,7.884018671,995.6760177,449.3866839,Forest,277.0482273,2020
Ambala,Bilaspur,28.12033932,76.81797184,9.233911785,5.748183631,933.0882706,180.1331208,Urban,271.1310409,2019
Gurgaon,Manesar,28.50024489,76.07546053,19.56728872,16.56848503,506.0527838,1777.23393,Forest,267.022008,2019
Ambala,Kardhan,29.03346514,77.15021881,12.23724464,11.35934291,988.1498113,117.566269,Forest,220.6931517,2019
Ambala,Majra,29.38471398,76.20550492,19.37870256,17.57909554,930.4045864,1054.494341,Agricultural,282.3673215,2019
Rohtak,Kiloi,28.31489204,76.76932022,11.52569106,8.078689151,730.4461083,1548.188512,Urban,254.0980035,2019
Gurgaon,Wazirabad,29.53390676,77.31636334,7.608319248,2.930271823,890.0383282,1698.274823,Urban,267.453945,2019
Ambala,Khera,29.35818732,77.0070193,5.138417365,1.549907289,410.5821477,1439.119608,Agricultural,251.5861128,2019
Ambala,Khanpur,28.07767925,77.29456325,10.16090945,9.295363705,723.9304433,1139.33985,Agricultural,231.9344546,2019
Ambala,Khera,29.3657811,77.2213794,8.107827068,3.409573103,529.8109725,527.0558748,Agricultural,257.7232689,2019
Panipat,Bhodwal Majri,29.0226245,76.73250354,23.65227803,22.25640756,634.3793684,168.4059206,Forest,262.1854494,2019
Rohtak,Kiloi,28.12990467,76.41161799,13.6600672,11.44235906,765.2100806,162.4736871,Forest,222.456551,2019
Ambala,Bilaspur,30.24715413,76.12709485,16.55965643,15.02083002,979.121645,175.1619353,Urban,271.6945272,2019
Gurgaon,Manesar,29.34538063,76.50119164,5.580842426,4.239041631,529.127493,651.0788878,Agricultural,215.3637728,2019
Ambala,Khanpur,29.37913654,76.83989114,9.00925801,7.800866265,778.555413,840.4418183,Urban,289.2604641,2019
Rohtak,Kahnaur,28.30983129,77.2267211,13.73201737,12.33154508,599.0597206,642.7821212,Forest,253.6438885,2019
Rohtak,Sunari Kalan,28.33187667,77.0978737,12.93395779,9.589940912,870.0115958,1553.741672,Forest,299.3003555,2019
Ambala,Bilaspur,30.24545462,76.32020639,13.75077625,11.21758321,403.5025166,348.4172584,Forest,233.8979189,2019
Panipat,Asan Khurd,28.59922095,77.17618467,18.8940411,16.52845662,523.9463096,1591.357449,Agricultural,296.8888098,2019
Hisar,Balsamand,28.99915525,77.43273022,6.511023232,4.422324163,768.0598409,647.7588647,Forest,276.2141194,2019
Rohtak,Samar Gopalpur,29.94824357,76.6525208,6.61038278,2.720548363,837.2924566,378.7823819,Agricultural,201.2133942,2019
Gurgaon,Badshahpur,28.42770796,77.31332553,21.74147813,19.61235108,736.6999929,460.3092158,Urban,271.3211685,2019
Ambala,Majra,29.45915356,76.83803526,20.96331263,20.27424422,800.9600059,1135.342015,Forest,249.3909808,2019
Panipat,Bapoli,30.35825198,76.35495269,5.500630789,4.858748468,953.5245632,310.0410838,Agricultural,245.6194223,2019
Gurgaon,Manesar,30.13585908,76.09092834,19.41601021,15.67256771,652.3784527,1095.619658,Forest,228.2741908,2019
Panipat,Bapoli,29.17161422,77.16227557,5.874224447,0.930218316,848.6712731,693.3044925,Urban,274.4560271,2019
